word,count
of,180
用心,180
方式,179
感受,178
愛我,178
18,178
16,178
zhe,178
放棄,178
那種,177
身體,177
到現,177
不然,177
好帥,177
轉身,177
嘴角,177
21,176
24,176
心跳,176
心裡,176
前面,176
放下,176
咖啡,176
月光,176
去年,174
當作,174
鋼琴,174
早已,174
速度,174
工作,173
不起,173
必須,173
shi,173
那裡,171
印地安,171
偶像,170
留下,170
今年,169
開頭,169
首都,169
吸引,169
距離,169
2018,169
或許,169
靜靜,169
理由,169
幹什麼,169
端午,169
自然,168
還會,166
東西,166
選擇,166
吉他,166
而已,166
我著,165
Chou,164
本來,164
一年,164
大概,164
裡面,164
幾乎,163
日本,163
太多,163
百聽,163
is,163
道理,163
差點,162
13,161
事情,161
報到,161
不該,161
專心,161
夜曲,161
如龍,161
jay,160
瞬間,160
周傑倫,160
還能,160
真心,160
任何,160
煩惱,160
窗外,160
晚到,160
17,159
最偉大,159
in,159
路上,158
至少,158
不及,158
反正,158
be,158
Go,158
融化,157
19,157
歌迷,157
聽著,157
鐵盒,157
最喜歡,156
彈奏,156
老斑,156
三年,155
支持,155
停留,155
曖昧,155
美人魚,154
情人,153
23,153
隨便,153
哥哥,153
不厭,153
辛苦,153
消失,153
打卡,152
不膩,152
舞蹈,152
尤其,152
樣子,152
珍惜,152
全都,151
歌聲,151
中文,151
一顆,151
03,150
一輩子,150
粉絲,150
天才,150
時空,150
土耳其,150
清醒,150
那時候,149
秋天,149
小心,148
So,148
剩下,148
當然,147
每日,147
現場,147
耳朵,147
愛你,147
La,147
當敵,147
02,146
就要,146
充滿,146
想像,146
更好,145
it,145
宇宙,144
心中,144
黑色幽默,144
背景,144
悲傷,144
空中,143
口袋,143
and,142
奇怪,142
看着,142
睫毛,142
不行,141
人家,141
功夫,141
最美,141
手中,141
收到,141
Si,141
那時,140
藉口,140
學校,140
意境,140
之外,140
一開始,139
靈魂,139
一枝,139
最佳,139
寂寞,139
不斷,139
露出,139
證明,138
魔鏡,138
旅行,138
大人,138
也許,138
Do,138
楊柳,137
溪邊,137
不敢,137
zai,137
巨蛋,136
旁邊,136
小村,136
歌名,136
自信,136
太過,136
如何,136
承諾,135
尋找,135
左右,135
肩膀,135
小丑,135
緊緊,135
森林,135
牽手,134
西元前,134
日子,133
怎樣,133
面前,133
再也,133
com,133
再給,133
我來,132
詳盡,132
Mojim,132
mi,132
接受,132
呼吸,131
傷害,131
形狀,131
遇見,131
流浪,131
Yeah,131
夏天,130
表演,130
腦袋,130
疙瘩,129
出口,129
還想,129
瞭解,129
廣告,129
廣場,129
豆腐,129
而是,128
美麗,128
甚麼,128
城市,128
英雄,128
除了,127
無敵,127
各位,127
菩薩,127
單純,126
天上,126
那天,126
兒子,126
一曲,126
不住,126
感到,125
不出,125
以為,125
星空,125
翻唱,125
天黑,125
令人,124
有種,124
結婚,124
女孩,124
老歌,124
結束,124
果然,124
看透,124
菊花,124
冰淇淋,124
反而,124
胸口,124
過了,123
古典,123
評論,123
陽光,123
景色,123
氣球,123
伊斯坦堡,123
跳舞,123
正在,122
女兒,122
請問,122
看過,122
解釋,122
實在,122
初戀,122
眼神,122
孤單,122
這句,121
詞網,121
my,121
愛在,121
等到,121
華麗,121
敲敲,121
社會,120
承受,120
機會,120
哈哈哈哈,120
你好,120
Ya,120
季節,120
曲子,119
配上,119
和絃,119
趕快,119
沒關,119
憂傷,119
14,118
可愛的,118
祝福,118
小學,118
在乎,118
一片,118
恩怨,118
空氣,118
之中,118
蜻蜓,118
太陽,117
沒用,117
甚至,117
早就,117
2017,117
琵琶,117
分開,116
總是,116
漂泊,116
gu,116
彩虹,116
叔叔,116
左手,116
原唱,115
超喜歡,115
徹底,115
幾次,115
部分,115
一般,115
come,115
昆凌,115
qi,115
手語,115
最後才,115
永不,114
等等,114
客棧,114
盡頭,114
結尾,114
男主角,114
消息,114
落葉,114
瘋狂,113
這樣子,113
天王,113
裡的,113
影子,113
遇到,113
遺憾,113
危險,113
移動,113
文化,113
聽聞,112
七里香,112
香港,112
莫名,111
印象,111
辦法,111
和平,111
不停,111
常常,111
著陽光,111
ye,111
漫天,111
勇氣,111
遊戲,111
一行,111
人間,111
老婆,110
現實,110
拯救,110
衣服,110
前世,110
公平,110
無雙,110
烏克麗麗,110
三二一,110
親愛的,109
我家,109
特色,109
成熟,109
哭泣,109
金曲,109
一把,109
問我,109
缺氧,109
地盤,109
空間,108
早期,108
模仿,108
日記,108
簡直,108
甜甜的,108
變得,108
之間,108
shu,108
顏色,108
東風,108
徐若瑄,107
難道,107
過得,107
好笑,107
學生,107
同一,107
yu,107
參加,107
右手,107
放到,106
皇帝,106
醒來,106
英文,106
持續,106
拿出,106
我將,106
單車,106
真實,106
離別,106
成功,105
提醒,105
中間,105
同學,105
蝴蝶,105
女朋友,105
無窮,105
蘋果,105
心疼,104
男生,104
回不去,104
不清,104
兄弟,104
一壺,104
女主,104
擔心,104
熱情,104
天下,104
力量,104
上燈,104
這次,103
哭過,103
認真,103
主題,103
啊啊啊,103
也好,103
毛衣,103
全世界,103
黑暗,103
紛紛,103
28,102
26,102
抱歉,102
高音,102
冷門,102
觀世音,102
乖乖,102
愛要,102
垃圾,101
首歌曲,101
這條,101
以父之名,101
一聽,101
伴奏,101
流淚,101
看來,101
我用,101
解藥,101
重來,100
JAY,100
肯定,100
畢業,100
天堂,100
聽見,100
有趣,100
眼中,100
先生,99
昨天,99
梅子,99
KTV,99
回去,99
晴天,99
范特西,99
加上,99
還以,99
一筆,99
忍者,99
戰爭,99
撒嬌,99
哈兮,99
不配,99
沙灘,99
上帝,98
修行,98
仍然,98
放手,98
緩緩,98
我還,98
最後一個,98
只會,98
開口,98
不開,98
我心,97
了還,97
回家,97
年還,97
05,97
寫給,97
下來,97
空白,97
香味,97
院子,97
想想,96
深深,96
是非,96
go,96
江湖,96
What,96
動作,96
生死,96
草木,96
琴聲,96
如風,96
這部,95
總有,95
假裝,95
超愛,95
as,95
很難,95
不愛我,95
下雨,95
染上,95
ti,95
許光漢,95
神作,94
100,94
值得,94
原版,94
人類,94
分享,94
27,94
學習,94
有什麼,94
你會,94
殘酷,94
飲料,94
無論,93
女神,93
大學,93
其中,93
劇情,93
緣份,93
江南,93
最大,93
阻礙,93
願望,93
攻擊,93
脣膏,93
時差,93
最強,92
31,92
這時,92
跟着,92
包括,92
挽回,92
溫暖,92
魔法,92
地上,92
孤獨,92
攻勢,92
烽火,92
Girl,92
for,91
40,91
迷人,91
一股,91
一邊,91
一位,91
RAP,91
受傷,91
何時,91
默契,91
往上爬,91
給過,91
會飛,91
開場,90
好難,90
第七章,90
似乎,90
般的,89
當下,89
滿天,89
會不會,89
dao,89
du,89
情感,89
神奇,89
很大,89
多久,89
懸崖,89
世界末日,89
斑駁,89
藍色,89
暗號,89
約定,89
服下,89
2000,88
08,88
傻笑,88
致敬,88
平常,88
付出,88
隔壁,88
Kobe,88
不如,87
平安,87
天天,87
拍照,87
文字,87
蔓延,87
留在,87
毛病,87
糖果,87
六百,87
如虹,87
差不多,86
至今,86
不可,86
健康,86
07,86
合唱,86
千里,86
控制,86
毅力,86
摧毀,86
失落,86
偏頭,86
剪影,86
國中,85
聽覺,85
河口,85
06,85
這賤,85
鼓勵,85
絕對,85
很少,85
紀念,85
侯佩岑,85
奔跑,85
停歇,85
初中,84
你給,84
那句,84
一二三四,84
悄悄,84
集合,84
稻香,84
技巧,84
預料,84
新聞,84
成為,84
腦海,84
穿梭,84
夜空,84
狀態,84
無聲,84
傾盆,84
停一,84
保護,83
以及,83
剛出,83
有夠,83
人會,83
沒什麼,83
享受,83
一件,83
一身,83
即將,83
深埋在,83
還不,83
風車,83
霍元甲,83
陸羽,83
跌倒,83
可愛,82
預言,82
大木,82
影響,82
洗腦,82
江山,82
真好,82
輪廓,82
卡片,82
意義,82
如雪,82
Na,82
誇張,81
容易,81
風中,81
大陸,81
疲憊,81
翻閱,81
燃燒,81
海灘,81
性感,80
過時,80
明天,80
那樣,80
太棒了,80
藝術,80
完整,80
your,80
逃離,80
ai,80
很快,80
日出,80
接近,80
失眠,80
嘴硬,80
以上,79
人們,79
愛過,79
太強,79
女友,79
低頭,79
妳是,79
理解,79
夕陽,79
聽歌,79
這段,79
小朋友,79
一半,79
留著,79
字幕,78
電話,78
演算法,78
視頻,78
即使,78
低估,78
舒服,78
流星,78
幾句,78
點閱,78
一部,78
xiang,78
討厭,78
詞曲,78
文山,78
同情,78
魔術師,78
燦爛,78
水手,78
牽掛,78
小小的,77
29,77
身上,77
成真,77
這時候,77
唱的歌,77
2016,77
唱腔,77
can,77
嚴重,77
獨特,77
青花瓷,77
迷迭香,77
包容,77
The,77
回應,77
入宮,77
懊喪,77
有個,76
04,76
like,76
創意,76
看不到,76
進來,76
牛肉,76
看起,76
要是,76
上面,76
夜晚,76
qu,76
合作,76
好不好,76
空來,76
美巴哇,76
終於,76
將來,76
外表,76
死去,76
看不見,76
開弓,76
邪惡,76
盔甲,76
痛快,76
認為,75
我想,75
內心,75
老公,75
第二,75
兩步,75
人心,75
ta,75
太神,75
不著,75
zhi,75
表哥,75
bi,75
毒藥,75
釋懷,75
安詳,75
樂章,75
抱住,75
靠靠,75
我永遠,74
電視,74
無聊,74
想不到,74
搭配,74
最高,74
很久,74
地獄,74
失敗,74
當你,74
接下,74
體會,74
遠遠,74
超帥,74
世紀,74
相思,74
這邊,74
各種,74
決鬥,74
深夜,74
可見,74
可不可以,74
半島,74
化身,74
姿勢,74
撐傘,74
翻頁,74
躲著,74
隨著,73
發生,73
每首歌,73
那邊,73
口罩,73
入秋,73
藝人,73
人才,73
想通,73
美景,73
因此,73
除非,73
勇敢,73
流眼淚,73
放開,73
打字,73
紙上,73
今生,72
一碗,72
09,72
原因,72
一出,72
觀眾,72
that,72
阿翔,72
寄紅豆,72
造型,72
考倒,72
一再,72
瀟灑,72
穿越,72
位置,72
小姐,72
環境,72
風沙,72
零碎,72
我氣勢,72
許時間,72
晚上,71
進入,71
事實,71
意外,71
愛恨,71
周杰倫唱,71
qing,71
心傷,71
古堡,71
表達,71
hui,71
流下,71
經歷,71
過往,71
天真,71
給的,71
末日,71
賴清德,71
CD,70
好感,70
他媽,70
深刻,70
重溫,70
發行,70
演出,70
太帥,70
三步,70
四步,70
聽得,70
想法,70
友情,70
吵架,70
美國,70
一千遍,70
was,70
一道,70
打包,70
側臉,70
鑰匙,70
山水,70
親手,70
夏威夷,70
傳奇,69
原本,69
只好,69
see,69
熱粥,69
幾斤,69
店小二,69
兩銀夠,69
塞北,69
牧草,69
我馬兒,69
不休,69
死亡,69
從來,69
漸漸,69
mojito,69
籬笆,69
封麥,69
喬克,69
沒收,69
故里,69
咬字,68
無限,68
上海,68
普通,68
目前,68
偷偷,68
xin,68
風呼嘯,68
河畔,68
跨越,68
預兆,68
穿過,68
盡用,68
終場,68
我輕輕,68
整首歌,67
主打,67
男孩,67
誓言,67
很帥,67
實現,67
在家,67
上去,67
微微,67
遙遠,67
美索,67
坐在,67
受夠,67
咆哮,67
任性,67
血腥,67
驟雨,67
得意,67
乾脆,67
地心引力,66
50,66
本人,66
創造,66
沒事,66
霓虹,66
鏡頭,66
舊歌,66
彈琴,66
XDD,66
八度,66
難怪,66
回想,66
歌唱,66
還聽,66
Mv,66
加速,66
確實,66
黑白,66
從前,66
崇拜,66
不達米亞,66
平原,66
沒能,66
尖叫,66
手寫,66
很忙,66
天台,66
將炮,66
泥濘,66
麥芽,66
跳個,66
二十年,65
往前,65
幾天,65
魅力,65
中學,65
我怕,65
前衛,65
吊打,65
三顆,65
四顆,65
一朵,65
失戀,65
試著,65
玩笑,65
幽默,65
接著,65
縱容,65
場景,65
排隊,65
DVD,65
黑夜,65
玻璃,65
軌跡,65
兇手,65
往前走,65
本草,65
剝落,65
秩序,65
風雪,65
落地生根,65
手法,64
聖經,64
世代,64
超棒,64
得出,64
做到,64
好奇,64
兩顆,64
聽不膩,64
對方,64
千遍,64
還沒,64
天氣,64
目的,64
變化,64
火車,64
蔡依林,64
發出,64
祈禱,64
聖誕節,64
受不了,64
愛寫,64
時刻,64
外套,64
or,64
一點點,64
走到,64
乒乓,64
花香,64
古道,64
醞釀,64
妖獸,64
擾亂,64
浪潮,64
般來襲,64
小命,64
介紹,63
猶記,63
外星人,63
寶貝,63
開車,63
現代,63
掌聲,63
壓力,63
放心,63
兩人,63
招牌,63
傳來,63
答應,63
安慰,63
封面,63
心事,63
絕望,63
不忍,63
抵抗,63
海上,63
沒續,63
一拳,63
追回,63
枯萎,63
腳印,63
東方,62
抄襲,62
東尼,62
許下,62
很甜,62
一秒,62
答案,62
心想,62
我承認,62
呵呵,62
或者,62
搖滾,62
守護,62
日文,62
家人,62
真相,62
su,62
民族,62
大海,62
照片,62
未愛過,62
懷疑,61
呈現,61
恭喜,61
第一名,61
Mr,61
帶來,61
唱法,61
傑迷,61
著天,61
hua,61
沙掠過,61
每年,61
腦海中,61
梯田,61
美妙,61
驚喜,61
我個,61
偉大,61
尷尬,61
主動,61
關於,61
兩分鐘,61
zu,61
夢想,61
別管,61
微甜,61
用力,61
神經,61
面具,61
還簡單,61
越過,61
胸膛,61
悠哉,61
面紅,60
年紀,60
不愧,60
脆弱,60
心願,60
聽起,60
guo,60
蒼老,60
亞洲,60
我終,60
主角,60
懂得,60
在意,60
做作,60
閉上,60
反覆,60
描述,60
出土,60
花花,60
逐漸,60
1943,60
紀錄,60
符號,60
淡水,60
懷裡,60
紛飛,60
黎明,60
鈴不鈴,60
他污,60
每當,59
病毒,59
47,59
能量,59
36,59
Rap,59
嘉年華,59
故意,59
紅色,59
脫離,59
耳機,59
fu,59
mei,59
沈默,59
發覺,59
love,59
委屈,59
或是,59
yao,59
not,59
而過,59
懷抱,59
jing,59
阻止,59
人覺,59
百字,59
沒差,59
向北,59
我們並,59
忘掉,59
流一點,59
俯瞰,59
散落,59
淚暈開,59
愛太,59
逆光,59
習近,58
說過,58
所謂,58
小時,58
灣的,58
只為,58
五年,58
連成線,58
回憶裡,58
up,58
單曲,58
shou,58
好歌,58
能力,58
威廉,58
角落,58
實力,58
無人,58
小鐵匠,58
休息,58
可憐,58
感人,58
學會,58
生氣,58
大提琴,58
押韻,58
非正常,58
路人甲,58
一瓶,58
頒獎,58
雨天,58
地平線,58
浪跡,58
這一場,58
囂張,58
憔悴,58
驚嘆號,58
還愛著,58
天使,57
完成,57
哪個,57
QQ,57
模糊,57
灣人,57
佩服,57
導演,57
快要,57
純粹,57
song,57
出生,57
精神,57
zi,57
youtube,57
練習,57
朝聖,57
key,57
雞皮,57
this,57
more,57
元素,57
Baby,57
西亞,57
悲哀,57
武器,57
引擎,57
世人,57
綱目,57
影院,57
皎潔,57
城下,57
迷路,57
Come,57
買醉,57
繽紛,57
2026,56
不少,56
耶穌,56
方面,56
by,56
靈感,56
報道,56
聽成,56
隨時,56
si,56
xu,56
公司,56
風霜,56
得獎,56
忍不住,56
就連,56
害羞,56
wei,56
電腦,56
烏鴉,56
不安,56
蜿蜒,56
相見,56
高興,56
明信片,56
仰望,56
仇恨,56
走散,56
東風破,56
五官,56
花開,56
皮影,56
蒲公英,56
明月,56
想太多,56
吼吼,56
有理,56
哭個,56
螞蟻,55
今日,55
華人,55
送給,55
第一首,55
童話,55
沒人能,55
35,55
其他人,55
憲哥,55
Mojito,55
都還,55
依靠,55
許願,55
十幾年,55
安排,55
樂器,55
有意思,55
跨時代,55
狗狗,55
啟動,55
gods,55
痛苦,55
天生,55
洋溢,55
隨手,55
地帶,55
綠葉,55
曲終,55
一個給,55
別當,55
一圈,55
發什麼,55
數後關,55
入夢境,55
來關,55
年過,54
雙手,54
無能,54
太晚,54
環繞,54
蕭邦,54
na,54
so,54
ke,54
yuan,54
打算,54
教堂,54
di,54
xiao,54
沼澤,54
反應,54
乾杯,54
一陣,54
激動,54
全面,54
趕緊,54
玫瑰,54
個性,54
動感,54
還來,54
男女,54
shang,54
餐廳,54
半獸,54
否定,54
可笑,54
名和利,54
典禮,54
土壤,54
轉著,54
香水,54
shall,54
牧笛,54
一滴,54
人散,54
可怕,53
等候,53
45,53
倫比,53
無人能,53
超前,53
滿臉,53
超過,53
挑戰,53
忽略,53
骨頭,53
腐肉,53
像貓,53
眼前,53
腳步,53
遇上,53
片段,53
一根,53
兩種,53
沒辦法,53
花海,53
放晴,53
園遊會,53
打轉,53
禮貌,53
碾過,53
歌謠,53
下車,53
滿城,53
衝衝,53
Goodbye,53
壞壞,52
整些,52
弄死,52
取代,52
夢裡,52
我當,52
還不錯,52
唱功,52
抖音,52
比起,52
要求,52
自我,52
現在還,52
紅塵,52
許多,52
一笑,52
一條,52
相同,52
一幕,52
姥姥,52
chu,52
氣質,52
hao,52
Repeat,52
身旁,52
遺忘,52
求求,52
time,52
鞋子,52
份量,52
繞過,52
杜哥,52
徘徊,52
頻率,52
分明,52
那陣,52
由不得你,52
飄移,52
忍住,52
裝不,52
人遊戲,52
耍賴,52
嘲笑,51
凌晨,51
48,51
算是,51
電音,51
淚水,51
不敢相信,51
溫度,51
歌壇,51
珊瑚,51
歐洲,51
新年,51
妹妹,51
完整版,51
倍速,51
少年,51
有意,51
隨風,51
魔力,51
校園,51
man,51
不喜歡,51
too,51
下面,51
心裡面,51
懷舊,51
孤寂,51
建議,51
have,51
腿短,51
毛不多,51
王者,51
感觸,51
停止,51
身影,51
榻榻米,51
過氣,51
羨慕,51
哈兮快,51
Don,51
只求,51
下降,51
百事,51
天邊,51
我學,51
年頭,51
行李,51
這一頁,51
來臨,50
找回,50
年少,50
培養,50
多次,50
身材,50
不得不,50
飛翔,50
看遠方,50
更加,50
with,50
眼光,50
疫情,50
年輕,50
You,50
ge,50
沙漠,50
種調,50
洶湧,50
相愛,50
往事,50
原則,50
睡著,50
滿地,50
歡迎,50
我試,50
一九四三,50
有屬,50
過客,50
那時間,50
那座,50
名稱,50
石板,50
凡事,50
小巷,50
一角,50
水蜜桃,50
回不來,50
眼看,50
重出,50
叛軍如,50
野火,50
潦草,50
衝破,50
鞠躬,50
GO,50
寒風,50
扯鈴,50
我揮淚,50
第一首歌,49
出道,49
光明,49
回事,49
善良,49
沒法,49
讀書,49
點贊,49
節快,49
演員,49
閱率,49
水準,49
父母,49
歌好,49
階段,49
最後的,49
三千,49
宿舍,49
從此,49
男子,49
吸收,49
he,49
頻道,49
障礙,49
教室,49
動聽,49
一旦,49
騎士,49
氣氛,49
Gary,49
信心,49
假象,49
座位,49
唐朝,49
愛是,49
幽幽,49
音樂盒,49
亮麗,49
淒美,49
兵臨,49
黯然,49
Lara,49
幅畫,49
逼近,49
照劇本,49
無關,48
房間,48
天花板,48
地表,48
這時期,48
52,48
42,48
音樂上,48
太好了,48
五月天,48
悲劇,48
青澀,48
畢竟,48
葉惠美,48
父親,48
yang,48
程度,48
只覺,48
融合,48
形成,48
調調,48
西方,48
中意,48
拉倒,48
吵什麼,48
永恆,48
品嚐,48
灰狼,48
公園,48
然而,48
2030,48
人潮,48
增福,48
土地,48
正常,48
討好,48
牛奶,48
啥事,48
不長,48
小指,48
海岸,48
為龍,48
gi,48
對面,48
樹葉,48
遮蔽,48
東流,48
粉嫩,48
城牆,48
花瓶,48
孤城,48
城門,48
盤踞,48
老樹根,48
旋轉,48
轉不回,48
明星,47
愛聽,47
家庭,47
33,47
籃球,47
這類,47
一下子,47
新人,47
打敗,47
官方,47
還沒有,47
這位,47
舉個,47
分鐘,47
人海中,47
叛逆,47
莫名其妙,47
古董,47
整天,47
幸運,47
利用,47
感慨,47
那位,47
無力,47
光年,47
發光,47
十多年,47
喝水,47
心儀,47
天份,47
何必,47
收割,47
好想你,47
超跑,47
將被,47
早餐,47
就會,47
拼命,47
敷衍,47
掏空,47
荒煙,47
請求,47
說破,47
埋葬,47
晨曦,47
海水,47
擦乾,47
卑微,47
野村,47
不鈴,47
帽子,46
算什麼,46
我媽,46
弟弟,46
風暴,46
鬥牛,46
小小,46
愛了,46
心痛,46
我連,46
xia,46
世事,46
承認,46
幻想,46
太高,46
忽然,46
母斑,46
詩人,46
染色,46
國家,46
之上,46
年幼,46
教材,46
輕易,46
違背,46
墜入,46
煙花易,46
溫暖放回,46
浩劫,46
周迅,46
一統,46
城郊,46
這也,45
打給,45
同樣,45
相當,45
震撼,45
一頁,45
一整天,45
預測,45
做出,45
我能,45
渴望,45
細膩,45
成長,45
dou,45
YouTube,45
組合,45
don,45
老實,45
重力,45
路過,45
喝酒,45
進行,45
傷感,45
唱到,45
只想,45
jiu,45
are,45
詮釋,45
聽媽媽,45
街道,45
重演,45
滅罪,45
細節,45
活著,45
進步,45
隨着,45
福音,45
脾氣,45
屋頂,45
夜越,45
沸騰,45
人要,45
自尊,45
一盞,45
敵意,45
吹著,45
破歲,45
預警,45
風箏,45
衝浪,45
勾銷,45
鈔票,45
小氣,45
這最,45
眼影,45
袁詠琳,45
Cry,45
叮噹,45
續杯,45
愛飛行,45
輕刷,45
如空,45
命運,44
好美,44
2003,44
好事,44
回顧,44
過的,44
願意,44
國小,44
本身,44
單單,44
沒辦,44
2004,44
落寞,44
康康,44
重拍,44
優秀,44
早上,44
昨晚,44
一響,44
shuo,44
收錄,44
米蘭,44
獵物,44
邂逅,44
天地,44
魔術,44
一陣子,44
隱藏,44
溝通,44
歌單,44
此咒,44
過程,44
緣分,44
喝完,44
老大,44
花落,44
一絕,44
杰倫哥,44
鉛筆,44
春秋,44
跌跌撞撞,44
燈關,44
唱著,44
科比,44
朝代,44
破楓,44
顛倒,44
隱若現,44
我戒,44
清秀,44
多汁,44
整夜,44
經放棄,44
升空,44
草地,44
夜風,44
霍霍,44
西敏寺,44
語帶,44
折腰,44
cuz,44
重點,43
才子,43
好多年,43
黑人,43
不曾,43
十幾,43
just,43
at,43
1000,43
feng,43
fang,43
mo,43
停不下,43
恐怖,43
感冒,43
安全,43
敗給,43
乾淨,43
喜好,43
仙人掌,43
怕羞,43
蜥蝪,43
灌木,43
叢旁,43
搞笑,43
發聲,43
受寵,43
惆悵,43
盡量,43
奇幻,43
婚姻,43
交給,43
mine,43
一杯,43
夜色,43
暗巷,43
村莊,43
培根,43
降臨,43
一百分,43
葉將,43
先對,43
示好,43
進愛情,43
愛情裡,43
你過,43
正義,43
結成,43
腳步聲,43
陽光宅,43
水族,43
下雨天,42
還給,42
形象,42
拍得,42
照顧,42
不會膩,42
51,42
38,42
改寫,42
之作,42
浮現,42
小男孩,42
時間過,42
暗戀,42
心聲,42
let,42
節目,42
失望,42
還真,42
精彩,42
熱鬧,42
盤旋,42
簡訊,42
老子,42
入門,42
點點,42
人民,42
立體,42
唸咒,42
蝙蝠,42
棍棒,42
飛行,42
不關,42
活過,42
屋簷,42
二班,42
仍守著,42
一幕幕,42
碼頭,42
對白,42
